OPEN,HIGH,LOW,CLOSE,VOLUME,Close_Time,QUOTE_ASSET_VOLUME,NUMBER_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,IGNORE,Date_column
"9904,46",10050,"9638,12","9917,27","60023,99954",1581897599999,"592584876,9",708070,"29406,13684","290482773,3",0,16/02/2020 00:00:00
"22706,02",23180,22500,"22916,45","293588,3794",1674518399999,6704191296,7258655,"145854,7094",3330927704,0,23/01/2023 00:00:00
9390,9544,9261,"9518,16","48815,00411",1595462399999,"457776105,6",663029,"23362,19379","219166005,9",0,22/07/2020 00:00:00
"30617,02",31380,"30570,27","31156,2","43761,64311",1688428799999,1352635340,781855,"20885,94331","645698735,4",0,03/07/2023 00:00:00
"26817,93",27300,26505,"27242,59","36380,90269",1685750399999,"983857061,6",811087,"18134,67738","490485191,8",0,02/06/2023 00:00:00
"29176,5",29376,"29047,65","29228,91","21565,7478",1690329599999,"629531351,1",533797,"10257,29455","299466722,2",0,25/07/2023 00:00:00
"6465,25",6833,"6371,33","6744,72","151138,0099",1585094399999,1001890515,1012669,"72781,81733","482659188,6",0,24/03/2020 00:00:00
"20677,47",21192,"20659,19","21071,59","251385,8493",1674172799999,5243024330,5819932,"124924,2344",2605629874,0,19/01/2023 00:00:00
"20588,84",21200,"20382,29","20830,04","143343,3049",1657929599999,2984339734,4411375,"71354,9491",1485929119,0,15/07/2022 00:00:00
"41757,51",42400,"41499,29","42201,13","29067,18108",1647734399999,1216709156,801197,"14463,06148","605480703,9",0,19/03/2022 00:00:00
"48436,61",52640,"48100,71","50349,37","81035,91371",1614815999999,4109521258,2242131,"40955,3684",2077586899,0,03/03/2021 00:00:00
"9301,57",9578,"9204,44","9513,21","60626,74426",1580428799999,"569652869,8",529570,"30852,55545","290043577,4",0,30/01/2020 00:00:00
"19795,34",20180,"18649,51","18790,61","356315,0572",1662508799999,6976809188,7124384,"175781,8447",3443135959,0,06/09/2022 00:00:00
"30086,74",31460,29480,"31328,89","46275,66912",1652659199999,1401499926,1016769,"24163,362","732332763,6",0,15/05/2022 00:00:00
"9315,96",9588,9220,"9381,27","59587,62786",1589673599999,560547005,692028,"28861,3682","271542836,2",0,16/05/2020 00:00:00
"42206,36",42448,"41000,15","41461,83","44849,79101",1627775999999,1868285511,1565380,"22844,24505","951887855,6",0,31/07/2021 00:00:00
"64122,22",65000,"63360,22",64380,"22504,97383",1636847999999,1442441614,904149,"11094,05209","711146514,1",0,13/11/2021 00:00:00
"14144,01",15750,"14093,56","15590,02","143741,5227",1604620799999,2131865609,1736055,"72196,12712",1071067717,0,05/11/2020 00:00:00
"30504,8",31500,"29850,45","29895,43","71319,6261",1688687999999,2181763649,1397042,"33952,63237",1039137135,0,06/07/2023 00:00:00
"22827,38",23320,"22714,77","23125,13","264649,3491",1675209599999,6083858925,6798411,"133028,1272",3058369006,0,31/01/2023 00:00:00
"60344,86",60976,"56474,26","56891,62","62146,99931",1637279999999,3644824179,1960419,"29742,20507",1745202990,0,18/11/2021 00:00:00
"5880,5",6599,"5857,76","6394,38","118889,55",1585612799999,"747569726,5",784034,"58863,31298",370039956,0,30/03/2020 00:00:00
"31989,75",34360,29900,"33949,53","116049,997",1609891199999,3743617145,2526851,"59691,75476",1927195094,0,05/01/2021 00:00:00
"5816,05",6600,5688,"6467,31","164674,2158",1585007999999,1015525672,1099406,"84136,01173","519197453,1",0,23/03/2020 00:00:00
"29993,89",30500,"29525,61","29884,92","59054,5646",1687478399999,1775822104,1146092,"27902,93312","839284260,2",0,22/06/2023 00:00:00
"27972,87",28472,"27124,47","27717,01","477378,2337",1679356799999,13300424537,11775950,"239765,2915",6680704888,0,20/03/2023 00:00:00
"22199,84",24380,"22047,28","24324,05","375669,1611",1676505599999,8604133694,8335550,"190798,1552",4372346767,0,15/02/2023 00:00:00
"35516,07",36480,35222,"35796,31","47650,20664",1623023999999,1711857075,993430,"23661,26064","850204250,8",0,06/06/2021 00:00:00
"11100,52",11170,10831,"11099,61","60794,82646",1596153599999,"669779541,9",879960,"28272,69877",311567992,0,30/07/2020 00:00:00
"34605,15",36488,33379,"35641,27","73535,38697",1622419199999,2601994948,1559892,"37406,8139",1324617923,0,30/05/2021 00:00:00
"11531,23",11686,"11376,81","11662,96","43678,70165",1598140799999,"504305451,4",809328,"21605,07092","249466430,9",0,22/08/2020 00:00:00
